question,choices,answer,error_type,source,correct_answer,potential_reason
The characteristic of injecting drug users in Asia is/are:,"[""Strong family support"",""Low failure rate for rehabilitation centers"",""Remaining a member of the community"",""Both a and c""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
The current testing policy of the Centers for Disease Control and the World Health Organization is:,"[""“Opt-in”"",""“Opt-out”"",""Mandatory testing of prisoners"",""Mandatory testing of high-risk groups""]",1,OK,Epidemiology 227 UCLA Final Examination 2011,,
The major issue for HIV infection among the Latino population is:,"[""Late detection of HIV status"",""Cultural beliefs"",""Immigration"",""All of the above""]",3,No correct answer,Epidemiology 227 UCLA Final Examination 2011,,Unclear definitions
The major risk group for HIV infection among Latinos is:,"[""Heterosexual males"",""Homosexual males"",""Females"",""Injection drug users""]",1,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,Unclear definitions
The particular quality of the U.S. health care system is its:,"[""Systematic, democratic approach"",""Fragmented, uncoordinated approach"",""The result of rationale decisions by informed legislators"",""a. and c. above""]",1,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,Subjective options
The prevalence of HIV among Latino-Americans compared to other ethic groups in the U.S. is:,"[""Highest"",""Higher than all other ethnic groups except African-Americans"",""Higher than in all other ethnic groups except African-Americans and"",""Native Americans""]",1,Bad options clarity,Epidemiology 227 UCLA Final Examination 2011,,C and D are one option split into two. Check Question 69
The range of disease caused by the family is wide but identify the exception from the following:,"[""Aplastic crisis in anaemia patients"",""Fifth disease at 'Slapped cheek' syndrome"",""Foetal infection with teratogenicity"",""Serious pneumonia""]",0,Bad question clarity,Human Virology 5e,,Missing context. This question came after a question about parvovirus
The single most important key to the success of the Multicenter AIDS Cohort (MACS) is:,"[""The brilliance of the principal investigator"",""The commitment of the staff"",""The commitment of the participants"",""The quality of the laboratories""]",2,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,Unclear definitions
The three key intervention strategies according to Professor Shoptaw are:,"[""Behavioral intervention, treatment and structural interventions"",""Condoms, drug therapy and regulation of commercial sex establishments"",""Drug replacement therapy, community intervention and needle exchange"",""HIV testing, drug therapy and condom use""]",0,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,Unclear reference of intervention strategies
Which of the following is the cause of delay in HIV testing among the Latino population?,"[""Stigma attached to the disease"",""Machismo"",""Drug abuse"",""All of the above""]",3,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,Unclear definitions and poor option quality
Newborn infants in countries with limited access to safe water and low levels of education should be:,"[""Exclusively formula fed for six months"",""Exclusively breast fed for six months"",""Should receive both breast milk and other foods as tolerated in the first 6"",""months""]",1,Bad options clarity,Epidemiology 227 UCLA Final Examination 2011,,From the source
Achieving effective change in a community is usually dependent on which of the following segments of society?,"[""Innovators"",""Early adapters"",""Middle adapters"",""Late adapters""]",0,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,From the source
Disease can most often be prevented by which of the following:,"[""Vaccines"",""Antivirals"",""Hygiene"",""mosquito nets""]",0,Bad question clarity,Human Virology 5e,D,Missing context. This question was a part of the Bunyavirus chapter.
Public health ethics is:,"[""Patient-centered"",""Population-centered"",""Subject-centered"",""Must respect the rights of individuals""]",1,Bad question clarity,Epidemiology 227 UCLA Final Examination 2011,,From the source
How many people globally are currently infected with hepatitis B?,"[""350 million"",""2 billion"",""100,000"",""1 million""]",0,Bad question clarity,Human Virology 5e,,"""currently"" is relative"
Are/were viruses:,"[""The most abundant form of life on earth?"",""Discovered before bacteria?"",""Grown in animals in the laboratory?"",""The cause of all human disease?""]",0,Bad question clarity,Human Virology 5e,,"The question and options are not presented clearly, why are the answers in the form of a question"
What is the biggest risk factor for infection with Ebola?,"[""Working in a category IV laboratory"",""Attending a funeral of a victim outside"",""Nursing a patient at home"",""Attending football matches or large gatherings""]",0,Bad question clarity,Human Virology 5e,,From the source. The question is not clearly stated. C is possible
“Contingency management” is”:,"[""A strategy of last resort for reducing high-risk behaviors"",""Paying drug users for negative urine specimens"",""Paying sex workers to use condoms"",""Paying drug users to use condoms""]",1,OK,Epidemiology 227 UCLA Final Examination 2011,,
A good surveillance system should provide information about:,"[""Who is being infected"",""Where the infected individuals are"",""How rapidly infection is spreading"",""All of the above""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
AIDS activism in the U.S. resulted in:,"[""Food and Drug Administration reforms"",""Easier access to investigational drugs"",""Changes in the way medicine was practiced in the U.S."",""All of the above""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
Benefits of opioid replacement therapy as an approach for HIV prevention include:,"[""Reducing craving for and use of illicit opioids"",""More sharing of injecting paraphernalia"",""Reducing frequency of injection drug use"",""Both a and c""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
Determinants of acquiring an HIV infection from an infected person per sexual act include:,"[""Viral RNA level"",""Presence of other infections"",""Condom use"",""All of the above""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
Measles has been controlled in many countries by which of the following?,"[""By hygiene"",""By MMR vaccine"",""By new molecular peptide vaccines"",""By humanised monoclonal antibodies to F protein""]",1,OK,Human Virology 5e,,
PreP is most effective for which group:,"[""Men with frequent unprotected sex"",""Men with infrequent unprotected sex"",""Women with frequent unprotected sex"",""Women with infrequent unprotected sex""]",0,multiple correct answers,Epidemiology 227 UCLA Final Examination 2011,"A,C",Outdated question
Which of the following are goals of vaccination?,"[""Prevent infection"",""Prevent disease"",""Prevent transmission"",""All of the above""]",3,OK,Epidemiology 227 UCLA Final Examination 2011,,
"500 women aged 40 – 54 who present for routine check-ups are asked about their meat consumption the women turn out to be vegetarian. During the ensuing 5 years, 5 vegetarians and 43 non-vegetarians develop colorectal cancer. Which of the following best describes the study design?","[""Case series report"",""Cohort study"",""Case-control study"",""Cross-sectional study""]",0,Wrong Groundtruth,Biostatistics and Epidemiology Step 1 Sample Questions Medical University of South Carolina,B,Bad annotation
"A case-control study is conducted to assess the association between alcohol consumption and lung cancer patients with lung cancer and 100 controls are asked about their past alcohol consumption. According to the study results, alcohol consumption is strongly associated with lung cancer (OR = 2.5). The researchers then divide the study subjects into two groups: smokers and non-smokers. Subsequent statistical analysis does not reveal any association between alcohol consumption and lung cancer within either group. The scenario described is an example of which of the following?","[""Observer bias"",""Confounding"",""Placebo effect"",""Nonresponse bias""]",1,OK,Biostatistics and Epidemiology Step 1 Sample Questions Medical University of South Carolina,,
"A city has a population of 250,000 cases and 400 deaths each year from this disease. There are 2,500 deaths per year from all causes. The prevalence of this disease is given by","[""400/250,000"",""600/250,000"",""1,000/250,000"",""2,500/250,000""]",3,No correct answer,Biostatistics and Epidemiology Step 1 Sample Questions Medical University of South Carolina,"10,000/250,000",Incorrect parsing. There is option E
