question,choices,answer,correct_answer,error_type,source,potential_reason
What kind of consequentialist theory does Dershowitz think can justify terrorism in certain extreme particular cases?,"['act-based deontology', 'rule-based hedonism', 'rule utilitarianism', 'act utilitarianism']",3,,ok,,
"Why, according to Gill, does Leon Kass think the notion of being ""better off dead"" is incoherent?","['because dead people no longer exist, and thus cannot benefit from choosing to die.', 'because some things (e.g., long-term torture) are worse than death.', 'because there has yet to be a satisfactory philosophical explanation of why death is bad.', 'because death is, by definition, undesirable.']",0,,ok,,
One common objection to utilitarianism is that the principle of utility is,"['too complicated.', 'too demanding.', 'too easy to satisfy.', 'none of the above']",1,,ok,,
The consequentialist approach to punishment is at odds with,"['retributive theories of punishment.', 'perfectionist theories of punishment.', 'legal theories of punishment.', 'preventive theories of punishment.']",0,,ok,,
Marcia Baron argues that the artificiality of ticking bomb cases is problematic because,"['the artificial assumptions are, in fact, empirical claims that are central to the debate.', 'all artificial thought experiments are philosophically useless.', 'it leads us to believe that torture is always permissible.', 'all of the above']",0,,ok,,
Velleman believes that euthanasia can be justified on the basis of,"['Kantian considerations.', 'consequentialist considerations.', 'existentialist considerations.', 'feminist considerations.']",0,,ok,,
"In Carruther's view, the justification for moral criticism for things that we do (or don't to do) to an animal derives from","[""the animal's direct moral standing."", 'the animals capacity for suffering.', 'the bad qualities of character that our actions evince.', 'none of the above']",2,,ok,,
Ashford's article is meant to address a particular paralysis in the face of,"['the sheer scope of global poverty.', 'having to choose between addressing immediate harm and addressing structural injustice.', 'reconciling conflict moral theories.', ""having to give up so much of our own wealth in light of Singer's arguments.""]",0,,Bad Question Clarity,,Which article?
Which of the following is an example of a virtue?,"['honesty', 'courage', 'kindness', 'all of the above']",3,,ok,,
Shapiro discusses Mediterranean cultures' use of alcohol to show that,"['even cultures with very low levels of alcohol consumption can have comparatively high levels of alcoholism.', 'the consumption of alcoholic beverages (e.g., wine) can have surprising health benefits.', 'increased use of a drug does not always lead to increased addiction.', 'all of the above']",2,,ok,,
"According to Corvino, the ""unnaturalness"" charge can carry moral weight only if those who level it can do two things:","['(i) explain the harms of anal sex and (ii) establish that all homosexuals will inevitably suffer those harms.', '(i) specify exactly what they mean by ""unnaturalness"" and (ii) explain why unnaturalness (so defined) matters morally.', ""(i) establish that one's sexual orientation is a matter of choice and (ii) that people who choose homosexuality have an intrinsic desire for self-harm."", '(i) explain the value of naturalness and (ii) why nothing ""unnatural"" can be of value.']",1,,ok,,
Cases in which a doctor is involved to some degree in assisting an individual to commit suicide are known as,"['mercy killing.', 'physician-assisted suicide.', 'involuntary euthanasia.', 'all of the above']",1,,ok,,
"The idea of ""using someone as a mere means"" is centrally relevant to which of the following moral theories?","['consequentialism', 'Kantianism', 'utilitarianism', 'natural law theory']",1,,ok,,
"According to Carruthers, which of the following groups should not be accorded direct moral standing?","['human infants', 'the senile', 'the mentally disabled', 'none of the above']",3,,ok,,
Fine asks us to consider the example of a yoga group that practices in Central Park and is free to reject prospective members but isn't free to exclude others from making use of Central Park. The point of this example is to show that,"['Central Park qualifies as a state.', 'there is a difference between rules of membership and rules about settlement within a physical territory.', 'territorial rights only belong to individuals.', 'Wellman is committed to an absurd theory of group membership.']",1,,ok,,
"One objection to care ethics is thatit seems to imply that we areresponsible for our attitudes, even though they seem not to be under our voluntary control. Collins responds by arguing that","['caring attitudes are not moral attitudes at all.', 'we can often bring ourselves to have attitudes of care indirectly', 'when we fail to have attitudes of care this means that no caring attitudes were required of us towards some person', 'Collins agrees with the objection.']",1,,ok,,
Which of the following is not an example Aquinas gives of a self-evident proposition?,"['""Every whole is greater than its part.""', '""The light of Thy countenance, O Lord, is signed upon us.""', '""Things equal to one and the same are equal to one another.""', '""Man is a rational being.""']",1,,ok,,
"According to Kant, an imperative that represents an action as a necessary means to something that is willed is what kind of imperative?","['categorical', 'universalizable', 'hypothetical', 'noumenal']",2,,ok,,
"If Thomson's conclusion is correct, then","['the abortion issue cannot be settled just by determining at what stage (if any) the fetus is a person.', 'abortion is always morally permissible.', 'abortion is never morally permissible.', 'the abortion issue can be settled just by determining at what stage (if any) the fetus is a person.']",0,,Bad Question Clarity,,Which conclusion?
"Since Nagel thinks there can be genuine moral dilemmas, he denies the moral principle that","['can implies should.', 'can implies ought.', 'ought implies can.', 'ought implies should.']",2,,ok,,
"In responding to terrorism, says Walzer, it is particularly important that","['we make an effort to convince the terrorists that they are acting wrongly.', 'we avoid harming terrorists to the same extent that we would avoid harming innocent civilians.', 'we attack the lower-ranking terrorists first.', 'we do not repeat the wrongs of terrorism in the process.']",3,,Bad Question Clarity,,Who is Walzer?
Which of the following theories will approach the morality of abortion by considering how much overall intrinsic value is likely to be brought about by abortion?,"['virtue ethics', 'consequentialist theory', 'Kantian ethics', 'natural law theory']",1,,ok,,
Audi proposed that we expand Ross's list of prima facie duties to include,"['veracity.', 'enhancement and preservation of freedom.', 'respectfulness.', 'all of the above']",3,,ok,,
Just war theory's principle of military necessity belongs to,"['jus in bello.', 'jus ad bellum.', 'moral nihilism.', 'all of the above']",0,,ok,,
Which of the following is a method of torture that Dershowitz believes is appropriate in those cases where torture is permissible?,"[""having a sterilized needle shoved under the victim's fingernails"", 'electrocution at nonlethal levels', 'submerging the victim in water so he or she feels as if he or she is drowning', 'none of the above; Dershowitz thinks torture is wrong in all cases.']",0,,ok,,
"Carens accepts that it is possible for the sudden opening of one country's borders to do more harm than good from a liberal egalitarian perspective. However, he argues that","['in practice, feasible policy options will not entail major costs to current citizens.', 'liberal egalitarianism is false, and so this possibility is irrelevant.', 'sometimes you have to do more harm than good in the short term to do more good in the long term.', 'all of the above']",0,,ok,,
"In Baxter's view, the first and foremost step toward a solution of our environmental problems is a clear recognition that our objective is not pure air or water but rather","['some optimal state of pollution.', 'an overall maximally clean environment.', 'some maximal state of pollution.', 'the preservation of all living species.']",0,,ok,,
