Subject,Condition,anthropic_claude-3-5-sonnet-20240620_correct,anthropic_claude-3-opus-20240229_correct,meta_llama-3.1-405b-instruct-turbo_correct,openai_gpt-4o-2024-05-13_correct,qwen_qwen2.5-72b-instruct-turbo_correct,google_gemini-1.5-pro-001_correct,openai_gpt-4-0613_correct,qwen_qwen2-72b-instruct_correct,writer_palmyra-x-004_correct,openai_gpt-4-turbo-2024-04-09_correct
All,Overall,0.8647368421052631,0.8442105263157894,0.8440350877192982,0.8400000000000001,0.8335087719298245,0.8303508771929824,0.8271929824561404,0.8217543859649123,0.8140350877192982,0.8115789473684211
All,OK,0.8858879503794035,0.8646499412968022,0.8669663864462078,0.8615339839002809,0.8540678846906001,0.8516379329366177,0.8499402510611631,0.8443879937953553,0.8351092190555125,0.8329758795368138
All,Not OK,0.5964345111029321,0.6228134748292643,0.5639045597677177,0.5810848648427596,0.597243965975545,0.561131820226557,0.5463884022410338,0.5558692471271418,0.5708677994520099,0.534595121253016
Abstract Algebra,Overall,0.75,0.64,0.7,0.66,0.68,0.75,0.63,0.67,0.75,0.56
Abstract Algebra,OK,0.7777777777777778,0.6666666666666666,0.7333333333333333,0.6888888888888889,0.7,0.7888888888888889,0.6555555555555556,0.7222222222222222,0.7777777777777778,0.5888888888888889
Abstract Algebra,Not OK,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.2,0.5,0.3
Anatomy,Overall,0.85,0.79,0.83,0.91,0.82,0.84,0.81,0.78,0.84,0.8
Anatomy,OK,0.8585858585858586,0.797979797979798,0.8383838383838383,0.9191919191919192,0.8282828282828283,0.8484848484848485,0.8181818181818182,0.7878787878787878,0.8484848484848485,0.8080808080808081
Anatomy,Not OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astronomy,Overall,0.96,0.98,0.92,0.95,0.92,0.91,0.93,0.95,0.93,0.94
Astronomy,OK,0.9680851063829787,0.9893617021276596,0.9468085106382979,0.9680851063829787,0.9574468085106383,0.925531914893617,0.9574468085106383,0.9787234042553191,0.9574468085106383,0.9680851063829787
