;question;gpt4o;claude3;llama-3;final_answer
0;Which one of the following is the most appropriate definition of a 99% confidence interval?;A;A; A;A
1;What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing?;C;C; C;C
2;If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage?;A;A; A;A
3;Which of the following statements is false concerning the linear probability model?;D;D; D;D
4;Which of the following statements concerning the regression population and sample is FALSE?;C;C; C;C
5;Which of the following statements is INCORRECT concerning a comparison of the Box-Pierce Q and the Ljung-Box Q* statistics for linear dependence in time series?;D;D; D;D
6;A parsimonious model is one that;B;B; B;B
7;Which of the following is NOT a feature of continuously compounded returns (i.e. log-returns)?;D;C; D;D
8;"Which of the following features of financial asset return time-series could be captured using a standard GARCH(1,1) model?

i) Fat tails in the return distribution


ii) Leverage effects


iii) Volatility clustering


iv) Volatility affecting returns";B;B; C;B
9;Consider the estimation of a GARCH-M model. If the data employed were a time-series of daily corporate bond percentage returns, which of the following would you expect the value of the GARCH-in-mean parameter estimate to be?;C;C; B;C
10;"Under which of the following situations would bootstrapping be preferred to pure simulation?

i) If it is desired that the distributional properties of the data in the experiment

are the same as those of some actual data


ii) If it is desired that the distributional properties of the data in the experiment

are known exactly


iii) If the distributional properties of the actual data are unknown


iv) If the sample of actual data available is very small";B;B; B;B
11;"Which of the following may be consequences of one or more of the CLRM assumptions being violated?

i) The coefficient estimates are not optimal


ii) The standard error estimates are not optimal


iii) The distributions assumed for the test statistics are inappropriate


iv) Conclusions regarding the strength of relationships between the dependent

and independent variables may be invalid.";D;D; D;D
12;Which of the following statements is true concerning forecasting in econometrics?;D;D; D;D
13;The pacf is necessary for distinguishing between;A;D; D;D
14;Negative residual autocorrelation is indicated by which one of the following?;B;B; B;B
