,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
0,"Let k be the number of real solutions of the equation e^x + x - 2 = 0 in the interval [0, 1], and let n be the number of real solutions that are not in [0, 1]. Which of the following is true?",B,B,B, B,B,B,B,B, B,B,B
1,"Up to isomorphism, how many additive abelian groups G of order 16 have the property that x + x + x + x = 0 for each x in G ?",C,C,C, C,C,C,B,To, C,B,C
2,"Suppose P is the set of polynomials with coefficients in Z_5 and degree less than or equal to 7. If the operator D sends p(x) in P to its derivative p′(x), what are the dimensions of the null space n and range r of D?",B,D,A, C,A,A,A,To, D,B,A
3,The shortest distance from the curve xy = 8 to the origin is,D,D,D, A,D,D,D,D, D,D,D
4,"There are 25 suitcases, 5 of which are damaged. Three suitcases are selected at random. What is the probability that exactly 2 are damaged?",B,D,A, A,D,D,A,To, A,A,A
5,"Let (Z_{10} , +, x) be the ring of integers modulo 10, and let S be the subset of Z_{10} represented by {0, 2, 4, 6, 8}. Which of the following statements is FALSE?",D,D,D, B,B,B,C,D, D,B,D
6,"A ladder 9 meters in length is leaning against a vertical wall on level ground. As the bottom end of the ladder is moved away from the wall at a constant rate of 2 meters per second, the top end slides downward along the wall. How fast, in meters per second, will the top end of the ladder be sliding downward at the moment the top end is 3 meters above the ground?",C,C,B, D,C,C,C,To, C,C,C
7,Consider a segment of length 10. Points A and B are chosen randomly such that A and B divide the segment into three smaller segments. What is the probability that the three smaller segments could form the sides of a triangle?,D,D,D, D,C,C,D,C, C,D,D
8,"Let V be a finite-dimensional real vector space and let P be a linear transformation of V such that P^2 = P. Which of the following must be true?
I. P is invertible.
II. P is diagonalizable.
III. P is either the identity transformation or the zero transformation.",C,C,C, C,C,C,C,C, C,C,C
9,Which of the following is true?,C,C,A, A,C,C,A,A, C,C,C
10,A discrete graph is complete if there is an edge connecting any pair of vertices. How many edges does a complete graph with 10 vertices have?,D,D,D, D,D,D,D,D, D,D,D
11,"Suppose X is a discrete random variable on the set of positive integers such that for each positive integer n, the probability that X = n is 1/2^n. If Y is a random variable with the same probability distribution and X and Y are independent, what is the probability that the value of at least one of the variables X and Y is greater than 3 ?",D,D,B, D,D,D,B,To, B,D,D
12,Let V and W be 4-dimensional subspaces of a 7-dimensional vector space X. Which of the following CANNOT be the dimension of the subspace V intersect W?,D,D,D, D,D,D,A,To, A,A,D
13,"A large class is to be divided into teams and each student must be a member of exactly one team. However, each student dislikes three of their classmates. Dislike between students need not be mutual. If the teams do not need to be equally sized, how many must be created so that no student is the teammate of someone they dislike?",A,B,A, D,D,D,A,This, B,A,A
14,Sofia and Tess will each randomly choose one of the 10 integers from 1 to 10. What is the probability that neither integer chosen will be the square of the other?,C,D,C, C,B,B,C,To, C,C,C
15,"Let K be a nonempty subset of R^n, where n > 1. Which of the following statements must be true?
I. If K is compact, then every continuous real-valued function defined on K is bounded.
II. If every continuous real-valued function defined on K is bounded, then K is compact.
III. If K is compact, then K is connected.",D,D,A, A,A,A,A,A, A,D,A
16,"Suppose V is a real vector space of finite dimension n. Call the set of matrices from V into itself M(V). Let T be in M(V). Consider the two subspaces U = {X ∈ M(V) : TX = XT} and W = {TX − XT : X ∈ M(V)}. Which of the following must be TRUE?
I. If V has a basis containing only eigenvectors of T then U = M(V).
II. dim (U) + dim (W) = n^2
III. dim (U) < n",D,D,D, D,D,D,B,A, D,D,D
17,"Let F be a constant unit force that is parallel to the vector (-1, 0, 1) in xyz-space. What is the work done by F on a particle that moves along the path given by (t, t^2, t^3) between time t=0 and time t=1?",C,B,A, C,A,A,A,To, B,B,A
18,"Let X be a topological space, and let A, B, and C be nonempty subsets of X such that A c B c C; that is, A is a proper subset of B, and B is a proper subset of C. Which of the following statements is (are) true?
I. If A and C are connected, then B is connected.
II. If A and C are compact, then B is compact.
III. If A and C are Hausdorff, then B is Hausdorff.",D,B,D, A,C,C,A,Let, D,D,D
19,"Let x_1 = 1 and x_(n+1) = sqrt(3+2x_n) for all positive integers n. If it is assumed that {x_n} converges, then lim x_n =",A,C,C, C,C,C,C,C, C,C,C
20,"If v is an eigenvector of an invertible matrix A, then which of the following is I are necessarily
true?
I. v is also an eigenvector of 2A.
II. v is also an eigenvector of A^2.
III. v is also an eigenvector of A^(-1).",D,D,D, D,D,D,D,D, D,D,D
21,For how many positive integers k does the ordinary decimal representation of the integer k! end in exactly 99 zeros?,D,D,A, B,C,C,C,To, C,C,C
22,"Let R be a ring with a multiplicative identity. If U is an additive subgroup of R such that ur in U for all u in U and for all r in R, then U is said to be a right ideal of R. If R has exactly two right ideals, which of the following must be true?
I. R is commutative.
II. R is a division ring (that is, all elements except the additive identity have multiplicative inverses).
III. R is infinite.",D,B,B, D,D,D,B,B, B,B,B
23,"A six-sided die (whose faces are numbered 1 through 6, as usual) is known to be counterfeit: The probability of rolling any even number is twice the probability of rolling any odd number. What is the probability that if this die is thrown twice, the first roll will be a 5 and the second roll will be a 6?",A,C,A, A,B,B,C,To, A,A,A
24,Statement 1 | Suppose {s_n} and {t_n} are sequences of complex numbers such that lim_n→∞ s_n = s and lim_n→∞ tn = t. lim_n→∞ s_nt_n = st. Statement 2 | There exists a bounded sequence of real numbers with no convergent subsequence.,B,B,B, A,B,B,B,A, A,B,B
25,"Define a binary operation on Z, the set of integers, by the equation m • n = m + n + mn. Which of
the following statements is (are) true about the binary structure (Z, • )?
I. This structure is not a group since the operation is not associative.
II. This structure is not a group since there is no identity element.
III. This structure is not a group since not all elements have an inverse.
IV. This structure is a group.",C,C,D, D,C,C,C,C, D,B,C
26,"It takes Kate k days to write a GRE math practice test. It takes John j days to write a GRE math practice test. If Kate and John work on a practice test in alternating 2-day shifts, it takes them 10 days when Kate starts and 10.5 days when John starts. How long would it take the two to complete a practice test if Kate and John worked simultaneously?",D,C,C, D,D,D,D,To, D,C,D
27,What is the greatest possible area of a triangular region with one vertex at the center of a circle of radius 1 and the other two vertices on the circle?,B,B,B, C,C,C,B,C, B,C,B and C
28,"Let f(x,y) = x^2 - 2xy + y^3 for all real x and y. Which of the following is true?",D,D,C, C,B,B,B,C, B,C,C and B
29,What is the largest order of an element in the group of permutations of 5 objects?,C,C,C, C,D,D,D,C, C,B,C
30,"S(n) is a statement about positive integers n such that whenever S(k) is true, S(k + 1) must also be true. Furthermore, there exists some positive integer n0 such that S(n0) is not true. Of the following, which is the strongest conclusion that can be drawn?",C,D,D, D,D,D,C,C, D,C,D
31,"In xyz-space, what are the coordinates of the point on the plane 2x + y + 3z = 3 that is closest to the origin?",B,B,B, C,B,B,B,B, B,C,B
32,For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?,B,B,B, C,B,B,B,B, B,B,B
33,A tree is a connected graph with no cycles. How many nonisomorphic trees with 5 vertices exist?,C,C,D, C,C,C,C,C, C,C,C
