;question;gpt4o;claude3;llama-3;final_answer
0;As of 2016, about what percentage of adults aged 18 years or older were overweight?;C;C; C;C
1;What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?;B;B; B;B
2;As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?;C;C; C;C
3;Which of the following countries generated the most total energy from solar sources in 2019?;A;A; A;A
4;Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?;C;C; B;C
5;What is the biggest cause of death in children under five years old (as of 2017)?;A;B; A;A
6;As of 2019, about what percentage of the global population does not have access to safe drinking water?;C;A; B;3 different Answers
7;"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?";C;C; A;C
8;As of 2017, what fraction of the population in Brazil used the internet in the past three months?;D;C; D;D
9;As of 2017, what fraction of the population in India used the internet in the past three months?;A;B; C;3 different Answers
10;As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?;C;A; C;C
11;As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?;B;A; A;A
12;As of 2020, about what percentage of the world population practices open defecation?;C;C; C;C
13;Which of the following is not an element of the redistribution-with-growth policy approach?;A;A; A;A
14;About what percentage of the global population was literate in 1950?;A;A; A;A
15;As of 2016, about what percentage of adults aged 18 years or older were obese?;B;C; C;C
16;As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?;A;A; A;A
17;As of 2017, what percentage of Americans live in urban areas?;C;C; D;C
18;What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?;C;C; B;C
19;In 2016, about how many people in the United States were homeless?;B;B; B;B
20;In 1965 how many Americans thought that sending troops to Vietnam was a mistake?;A;A; A;A
21;As of 2013, share of people in the Ethiopia who think political parties are corrupt is;D;D; C;D
22;In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately;D;D; D;D
23;As of 2015, agriculture made up about what percentage of total Indian GDP?;B;B; A;B
24;Which of the following is true as of 2020?;D;D; D;D
25;As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?;C;D; D;D
26;As of 2017, the share of GDP spent on the military by Saudi Arabia is about;D;D; D;D
27;As of 2019, about what share of electricity came from fossil fuels in the United States?;C;C; C;C
28;What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?;B;D; C;3 different Answers
29;As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?;B;A; C;3 different Answers
30;In 2018, about how many chickens were killed for meat production?;C;C; C;C
31;In 2016, what percentage of the population of South Sudan had access to electricity?;A;A; A;A
32;"About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?";B;A; A;A
33;Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?;D;D; C;D
34;Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.;D;C; C;C
35;As of 2019, about what percentage of Turks say God plays an important role in their life?;D;D; D;D
36;Which of the following was responsible for the most death in the 20th century?;D;D; D;D
37;What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?;A;A; A;A
38;Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?;D;C; C;C
39;As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?;A;A; A;A
40;As of 2015, what percentage of the global population over 15 years old was literate?;B;B; C;B
