;question;gpt4o;claude3;llama-3;final_answer
0;Statement 1| Linear regression estimator has the smallest variance among all unbiased estimators. Statement 2| The coefficients α assigned to the classifiers assembled by AdaBoost are always non-negative.;C;D; A;3 different Answers
1;Statement 1| RoBERTa pretrains on a corpus that is approximate 10x larger than the corpus BERT pretrained on. Statement 2| ResNeXts in 2018 usually used tanh activation functions.;C;C; C;C
2;Statement 1| Support vector machines, like logistic regression models, give a probability distribution over the possible labels given an input example. Statement 2| We would expect the support vectors to remain the same in general as we move from a linear kernel to higher order polynomial kernels.;B;B; B;B
3;A machine learning problem involves four attributes plus a class. The attributes have 3, 2, 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there?;D;C; C;C
4;As of 2020, which architecture is best for classifying high-resolution images?;A;A; A;A
5;Statement 1| The log-likelihood of the data will always increase through successive iterations of the expectation maximation algorithm. Statement 2| One disadvantage of Q-learning is that it can only be used when the learner has prior knowledge of how its actions affect its environment.;C;C; A;C
6;Let us say that we have computed the gradient of our cost function and stored it in a vector g. What is the cost of one gradient descent update given the gradient?;A;A; A;A
7;Statement 1| For a continuous random variable x and its probability distribution function p(x), it holds that 0 ≤ p(x) ≤ 1 for all x. Statement 2| Decision tree is learned by minimizing information gain.;C;C; B;C
8;Consider the Bayesian network given below. How many independent parameters are needed for this Bayesian Network H -> U <- P <- W?;B;B; C;B
9;As the number of training examples goes to infinity, your model trained on that data will have:;A;A; A;A
10;Statement 1| The set of all rectangles in the 2D plane (which includes non axisaligned rectangles) can shatter a set of 5 points. Statement 2| The VC-dimension of k-Nearest Neighbour classifier when k = 1 is infinite.;A;A; A;A
11;_ refers to a model that can neither model the training data nor generalize to new data.;C;C; C;C
12;Statement 1| The F1 score can be especially useful for datasets with class high imbalance. Statement 2| The area under the ROC curve is one of the main metrics used to assess anomaly detectors.;A;A; A;A
13;Statement 1| The back-propagation algorithm learns a globally optimal neural network with hidden layers. Statement 2| The VC dimension of a line should be at most 2, since I can find at least one case of 3 points that cannot be shattered by any line.;D;B; B;B
14;High entropy means that the partitions in classification are;B;B; B;B
15;Statement 1| Layer Normalization is used in the original ResNet paper, not Batch Normalization. Statement 2| DCGANs use self-attention to stabilize training.;B;B; B;B
16;In building a linear regression model for a particular data set, you observe the coefficient of one of the features having a relatively high negative value. This suggests that;C;A; A;A
17;For a neural network, which one of these structural assumptions is the one that most affects the trade-off between underfitting (i.e. a high bias model) and overfitting (i.e. a high variance model):;A;A; A;A
18;For polynomial regression, which one of these structural assumptions is the one that most affects the trade-off between underfitting and overfitting:;A;A; A;A
19;Statement 1| As of 2020, some models attain greater than 98% accuracy on CIFAR-10. Statement 2| The original ResNets were not optimized with the Adam optimizer.;A;C; A;A
20;The K-means algorithm:;C;C; C;C
21;Statement 1| VGGNets have convolutional kernels of smaller width and height than AlexNet's first-layer kernels. Statement 2| Data-dependent weight initialization procedures were introduced before Batch Normalization.;C;C; A;C
22;What is the rank of the following matrix? A = [[1, 1, 1], [1, 1, 1], [1, 1, 1]];B;B; B;B
23;Statement 1| Density estimation (using say, the kernel density estimator) can be used to perform classification. Statement 2| The correspondence between logistic regression and Gaussian Naive Bayes (with identity class covariances) means that there is a one-to-one correspondence between the parameters of the two classifiers.;C;A; A;A
24;Suppose we would like to perform clustering on spatial data such as the geometrical locations of houses. We wish to produce clusters of many different sizes and shapes. Which of the following methods is the most appropriate?;B;B; B;B
25;Statement 1| In AdaBoost weights of the misclassified examples go up by the same multiplicative factor. Statement 2| In AdaBoost, weighted training error e_t of the tth weak classifier on training data with weights D_t tends to increase as a function of t.;C;C; D;C
26;MLE estimates are often undesirable because;B;B; B;B
27;Computational complexity of Gradient descent is,;D;D; A;D
28;Averaging the output of multiple decision trees helps _.;D;D; D;D
29;The model obtained by applying linear regression on the identified subset of features may differ from the model obtained at the end of the process of identifying the subset during;D;D; D;D
30;Neural networks:;C;C; C;C
31;"Say the incidence of a disease D is about 5 cases per 100 people (i.e., P(D) = 0.05). Let Boolean random variable D mean a patient “has disease D” and let Boolean random variable TP stand for ""tests positive."" Tests for disease D are known to be very accurate in the sense that the probability of testing positive when you have the disease is 0.99, and the probability of testing negative when you do not have the disease is 0.97. What is P(TP), the prior probability of testing positive.";C;C; B;C
32;Statement 1| After mapped into feature space Q through a radial basis kernel function, 1-NN using unweighted Euclidean distance may be able to achieve better classification performance than in original space (though we can’t guarantee this). Statement 2| The VC dimension of a Perceptron is smaller than the VC dimension of a simple linear SVM.;C;C; A;C
33;The disadvantage of Grid search is;D;D; D;D
34;Predicting the amount of rainfall in a region based on various cues is a ______ problem.;A;A; A;A
35;Which of the following sentence is FALSE regarding regression?;D;D; D;D
36;Which one of the following is the main reason for pruning a Decision Tree?;D;D; D;D
37;Statement 1| The kernel density estimator is equivalent to performing kernel regression with the value Yi = 1/n at each point Xi in the original data set. Statement 2| The depth of a learned decision tree can be larger than the number of training examples used to create the tree.;D;A; A;A
38;Suppose your model is overfitting. Which of the following is NOT a valid way to try and reduce the overfitting?;B;B; B;B
39;Statement 1| The softmax function is commonly used in mutliclass logistic regression. Statement 2| The temperature of a nonuniform softmax distribution affects its entropy.;A;A; A;A
40;Which of the following is/are true regarding an SVM?;A;A; A;A
41;Which of the following is the joint probability of H, U, P, and W described by the given Bayesian Network H -> U <- P <- W? [note: as the product of the conditional probabilities];C;C; C;C
42;"Statement 1| Since the VC dimension for an SVM with a Radial Base Kernel is infinite, such an SVM must be worse than an SVM with polynomial kernel which has a finite VC dimension. Statement 2| A two layer neural network with linear activation functions is essentially a weighted combination of linear separators, trained on a given dataset; the boosting algorithm built on linear separators also finds a combination of linear separators, therefore these two algorithms will give the same result.";B;B; B;B
43;Statement 1| The ID3 algorithm is guaranteed to find the optimal decision tree. Statement 2| Consider a continuous probability distribution with density f() that is nonzero everywhere. The probability of a value x is equal to f(x).;B;B; B;B
44;Given a Neural Net with N input nodes, no hidden layers, one output node, with Entropy Loss and Sigmoid Activation Functions, which of the following algorithms (with the proper hyper-parameters and initialization) can be used to find the global optimum?;D;D; D;D
45;Adding more basis functions in a linear model, pick the most probably option:;A;A; A;A
46;Consider the Bayesian network given below. How many independent parameters would we need if we made no assumptions about independence or conditional independence H -> U <- P <- W?;C;D; C;C
47;Another term for out-of-distribution detection is?;A;A; A;A
48;"Statement 1| We learn a classifier f by boosting weak learners h. The functional form of f’s decision boundary is the same as h’s, but with different parameters. (e.g., if h was a linear classifier, then f is also a linear classifier). Statement 2| Cross validation can be used to select the number of iterations in boosting; this procedure may help reduce overfitting.";D;D; D;D
