;question;gpt4o;claude3;llama-3;final_answer
0;Which common public relations tactic involves sending journalists on visits to appropriate locations?;B;B; B;B
1;You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend?;B;B; B;B
2;In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers.;B;B; B;B
3;In what year did the BBC start broadcasting radio?;B;B; B;B
4;________ advertising campaigns are focused on gathering support for a particular message or cause.;C;C; C;C
5;Why should a successful public relations counselor continually review present and future realities for an organization?;B;B; B;B
6;Which of these definitions best describes the 'spiral of silence'?;B;B; B;B
7;What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common?;A;A; A;A
8;At which stage in the planning process are the objectives decided on?;B;B; A;B
9;Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?;B;B; D;B
10;How much has the number of practitioners working in consultancies in the UK grown since 25 years ago?;C;D; D;D
11;Which statement is NOT true of both issues management and crisis management?;B;B; B;B
12;In what year did the BBC start broadcasting radio?;B;B; B;B
13;How many regional newspapers are there in the UK?;B;C; B;B
14;According to Esman (1972), which publics are related to the organisation through shared industrial interests?;B;B; C;B
15;Early theories of mass communication suggested that audiences were passive recipients of media messages and thus vulnerable to manipulation. Which of the following best describes current thinking?;C;C; C;C
16;Which of the following entities cannot sue for libel?;C;C; C;C
17;Which author emphasised strategy as achieving competitive advantage for an organization?;D;A; D;D
18;Which statement is true about focus group research?;D;D; D;D
19;You are the community relations director for a public water utility that has been targeted by a group of activists opposed to adding fluoride to drinking water. The activists are waging an intense internet campaign against the practice. Your utility has overwhelming evidence of the health benefits to fluoridated water. The manager of the utility asks you to initiate a blog to get the health message out. What is the most appropriate course of action?;C;C; C;C
20;Within which area of public relations is likely to involve lobbying?;C;C; C;C
21;During which step of the Chase Jones model of issues management should the strengths and weaknesses of the organisation be reviewed?;B;B; B;B
22;As the single-person public relations staff of a public transit agency, you are tasked with increasing the number of people who ride your buses each month. Your target audiences are lower-income individuals, college students, people with basic educations and people for whom English is a Second Language. When preparing to craft a primary message, what should you do first?;A;A; A;A
23;A book launch would be what kind of common tactic?;B;B; B;B
24;Newsletters generally fall in to which writing category?;D;D; D;D
25;The process of identifying publics who are involved and affected by a situation central to an organization is called a(n);D;D; D;D
26;Which of the following Internet-related challenges is most significant in the public relations field?;D;A; A;A
27;Which of these ways a business impacts on the world do stakeholders NOT normally look at?;D;A; D;D
28;The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.;B;B; B;B
29;In the Westley and MacLean model of communication, which role describes the way in which the public obtain or receive the message?;B;B; D;B
30;Which guerrilla marketing technique involves the spreading of a message about a product issue or service through online peer-to peer communication?;D;D; D;D
31;A ________ campaign occurs when people from two or more opposing sides of an argument have emotional convictions about a decision that has the power to impact their lives.;B;B; B;B
32;The Web was effectively invented by Berners-Lee in which year?;B;B; C;B
33;Internet traffic is expected to grow by 400% in the next few years. What is predicted to be the main driver of this?;B;B; B;B
34;The goal of ________ advertising is to promote a specific product and service to a target audience.;B;B; B;B
35;Which of these types of survey question seeks qualitative information?;C;C; C;C
36;The American flag is an example of a;C;C; C;C
37;Approximately half of all public relations practitioners work in;B;B; B;B
38;You seek the counsel of one of your peers who designed and implemented a communication program that resulted in the successful permitting of an automotive recycling center, despite strong opposition from community organizations. You have to design a program to win approval for a similar project proposed by your company. Your peer gives you a brief piece of advice that succinctly describes the foundation of his successful program. What is most likely your peer's advice for a successful communication program?;A;A; A;A
39;Which of these publics does NOT feature in Grunig and Hunt's (1984) situational theory of publics?;B;B; B;B
40;Which of these qualities is NOT listed as something to consider when choosing an opinion leader for a public relations campaigns?;B;B; B;B
41;According to Macnamara's (2005) pyramid of evaluation, at which stage is the situation analysis done and used to form objectives and implementation plans?;A;A; A;A
42;Which factors are mentioned that influence media coverage of a story?;C;C; C;C
43;What is the primary reason that you, as a public relations manager, should insist on prioritizing and scheduling activities?;A;A; A;A
44;According to Macnamara's (2005) pyramid of evaluation, at which stage are opinion polls most useful?;D;C; C;C
45;Tyler and his wife have been won over by the advertising campaign supporting Stan Johnson, who is running for mayor, so they put a 'Vote for Stan Johnson in November' sign in their front yard. Tyler and his wife are engaging in ________, the third step of the advertising campaign.;D;D; D;D
46;No-Wait Weight Loss, a diet pill brand, promises its potential consumers that if they take one pill once a day they will lose weight without having to change their diet or start exercising. However, many people who have used the product have complained that they haven't lost weight, and some have even gained weight. No-Wait Weight Loss has been unsuccessful in the ________ stage of the advertising campaign.;B;D; C;3 different Answers
47;"What World War I-era organization introduced decentralized publicity ""drives"" as a strategy to mobilize U.S. public opinion to support the war?";A;A; A;A
48;When an attitude is communicated, what does it become?;A;A; A;A
49;Which communication model describes the encoding and decoding of messages?;A;B; B;B
50;Which definition best describes media convergence?;D;D; D;D
51;________ is most common to political campaigns because it focuses on raising the public's awareness about a particular person in hopes they will either support or not support the person.;C;C; C;C
52;Which phase of public relations audience research is associated with summative evaluation?;B;B; B;B
53;Which of these adjectives does NOT describe business writing?;B;C; B;B
54;Publishing and selling the creative work of others and protecting property rights of one's own creative work is regulated by;D;D; D;D
55;Where was the first British newspaper printed?;B;B; A;B
56;Which of the following information about publications does the Audit Bureau of Circulation NOT provide?;C;D; C;C
57;The ________ phase of the PR process consists of making decisions about which strategies and tactics will be used to respond to the goals of the organization and executing those strategies and tactics.;B;B; B;B
58;In recent years social media has had a major impact on the practice of public relations. In which of the following areas has the impact been greatest and experienced most immediately?;A;A; A;A
59;Which traditional news criterion would you expect to be most important in public relations messages distributed through the mass media?;D;C; C;C
60;Which area of public relations deals with emerging issues and their potential impact on an organization?;B;B; B;B
61;According to Macnamara's (2005) pyramid of evaluation, at which stage is media coverage most likely to be measured?;B;B; B;B
62;You are director of communications for a local non-profit chapter organization that is an affiliate of a large national non-profit organization. You are frequently asked to secure media coverage using news releases provided by national headquarters located in another state. Which action would most improve your chances of success with these materials?;B;B; B;B
